StateNme,code,year,export50,number,for_priv,ccode,revolutionaryleader,us_troops,ccode1_x,mie(2),ccode1_y,mie(4),ccode2_x,mie(2)_against,ccode2_y,mie(4)_against,rivalries_a,rivalries_b,rebels,price,barrels,v2x_polyarchy,e_gdppc,v2svstterr,v2svindep,lagged,roll_mean3,roll_mean5,log_gdppc,troops_yj,prod_yj,riv
Congo,484,1960,,1.0,,484,0.0,0.0,,0.0,,0.0,,0.0,,0.0,,,0.0,19.575077890848558,,0.25,1.536,76.6,1.0,,,,0.42918163472548043,-1.0020640125186968,,0.0
Gabon,481,1960,,1.0,,481,0.0,0.0,,0.0,,0.0,,0.0,,0.0,,,0.0,19.575077890848558,,0.182,4.427,86.714,1.0,,,,1.4877221537500038,-1.0020640125186968,,0.0
Iran,630,1960,,2.0,0.0,630,0.0,639.0,630.0,1.0,630.0,1.0,,0.0,,0.0,1.0,1.0,0.0,19.575077890848558,,0.063,3.63,96.0,1.0,,,,1.2892326482767593,1.6242781131935988,,2.0
Iraq,645,1960,,3.0,1.0,645,1.0,24.0,,0.0,,0.0,645.0,1.0,645.0,1.0,2.0,2.0,0.0,19.575077890848558,,0.101,6.676,94.8,1.0,,,,1.8985190057995887,0.8574958640791814,,4.0
Laos,812,1960,,0.0,,812,0.0,23.0,812.0,3.0,812.0,3.0,812.0,9.0,812.0,9.0,,,2.0,19.575077890848558,,0.275,0.775,58.0,1.0,,,,-0.25489224962879004,0.8427915363117606,,0.0
Libya,620,1960,,4.0,1.0,620,0.0,3942.0,,0.0,,0.0,,0.0,,0.0,,,0.0,19.575077890848558,,0.107,3.487,88.167,1.0,,,,1.2490417676935142,1.8329833556331938,,0.0
Nigeria,475,1960,,1.0,,475,0.0,0.0,,0.0,,0.0,,0.0,,0.0,,1.0,0.0,19.575077890848558,,0.252,1.94,77.333,1.0,,,,0.6626879730752367,-1.0020640125186968,,1.0
Oman,698,1960,,0.0,,698,0.0,0.0,,0.0,,0.0,,0.0,,0.0,,,0.0,19.575077890848558,,0.008,2.109,81.714,1.0,,,,0.7462139014966376,-1.0020640125186968,,0.0
Saudi Arabia,670,1960,,6.0,1.0,670,0.0,1518.0,,0.0,,0.0,,0.0,,0.0,,1.0,0.0,19.575077890848558,,0.014,8.163,91.6,1.0,,,,2.099611748469219,1.7365663474945203,,1.0
Syria,652,1960,,3.0,1.0,,,5.0,,0.0,,0.0,,0.0,,0.0,1.0,3.0,0.0,19.575077890848558,,0.079,2.853,94.75,1.0,,,,1.048371072231363,0.23074012503401078,,4.0
